Probeset	Nod_06dpi_1	Nod_06dpi_2	Nod_06dpi_3
Mtr.10325.1.S1_at	28.3568	22.3724	23.6408
Mtr.10326.1.S1_at	3073.23	2958.63	2878.49
Mtr.10327.1.S1_at	480.302	417.582	443.801
Mtr.10329.1.S1_at	6.21734	7.91143	7.18401
Mtr.1033.1.S1_at	348.576	366.861	277.364
Mtr.1033.1.S1_s_at	281.035	268.829	256.243
Mtr.10330.1.S1_at	55.1786	71.7076	78.6731
Mtr.10330.1.S1_s_at	172.228	133.556	187.897
Mtr.10330.1.S1_x_at	128.972	123.303	153.784
Mtr.10331.1.S1_at	573.18	558.902	834.929
Mtr.10332.1.S1_at	146.52	100.956	98.1626
Mtr.10337.1.S1_at	655.003	631.05	632.976
Mtr.10338.1.S1_at	8.16888	6.3587	6.58181
Mtr.10338.1.S1_s_at	850.758	928.402	1323.78
Mtr.10339.1.S1_at	96.2501	102.034	95.7261
Mtr.1034.1.S1_at	1536.74	1464.92	1456.74
Mtr.10340.1.S1_at	1703.33	1687.84	1612.77
Mtr.10341.1.S1_at	476.699	472.726	470.081
Mtr.10342.1.S1_at	869.062	776.649	792.02
Mtr.10343.1.S1_at	13.188	10.9511	13.1157
Mtr.10344.1.S1_at	1385.88	1342.88	1308.37
Mtr.10345.1.S1_s_at	1390.16	1289.76	1379.92
Mtr.10346.1.S1_at	31.4434	31.2907	31.5463
Mtr.10347.1.S1_at	1647.08	1477.13	1525.13
Mtr.10348.1.S1_at	15.8876	15.7752	14.9518
Mtr.10349.1.S1_at	100.233	117.389	168.299
Mtr.10349.1.S1_s_at	2383.1	2760.73	3814.76
Mtr.1035.1.S1_at	45.6501	36.6589	33.0736
Mtr.10350.1.S1_at	7.38671	6.53287	7.94687
Mtr.10351.1.S1_at	1198.98	1099.77	1189.57
Mtr.10352.1.S1_at	2148.35	2138.04	2261.54
Mtr.10353.1.S1_at	5.4303	7.61124	7.31421
Mtr.10353.1.S1_s_at	17.3444	20.4747	21.4789
Mtr.10354.1.S1_at	7262.15	7413.48	7554.23
Mtr.10355.1.S1_at	1871.48	1849.24	1743.88
Mtr.10356.1.S1_at	2722.13	3136.78	2848.14
Mtr.10357.1.S1_at	8286.39	9289.59	9536.18
Mtr.10358.1.S1_at	230.129	229.321	251.93
Mtr.10359.1.S1_at	1342	1198.02	1103.57
Mtr.1036.1.S1_at	6.67963	7.12824	6.04016
Mtr.10360.1.S1_s_at	873.482	816.692	818.534
Mtr.10361.1.S1_at	7568.95	6435.42	7046.59
Mtr.10362.1.S1_at	9045.75	8664.6	8380.43
Mtr.10363.1.S1_x_at	800.252	666.235	906.668
Mtr.10364.1.S1_at	8.79185	10.4305	8.89281
Mtr.10365.1.S1_at	9.05451	9.23803	7.61812
Mtr.10365.1.S1_s_at	10605.1	9007.83	9981.97
Mtr.10366.1.S1_at	70.6848	54.9413	67.1851
Mtr.10367.1.S1_at	5814.74	5717.88	5603.38
Mtr.10368.1.S1_at	137.411	173.427	197.535
Mtr.10369.1.S1_at	43.7145	44.0646	63.8441
Mtr.1037.1.S1_at	15.911	20.7303	12.0837
Mtr.10370.1.S1_at	6223.26	6192.74	6067.75
Mtr.10371.1.S1_at	8775.35	8805.97	8894.42
Mtr.10372.1.S1_at	4090.22	3851.63	3872.87
Mtr.10373.1.S1_at	62.0957	51.0287	87.6957
Mtr.10375.1.S1_at	1944.04	1915.44	2081.09
Mtr.10376.1.S1_at	5024.85	5303.89	4499.24
Mtr.10377.1.S1_at	262.948	306.384	275.231
Mtr.10377.1.S1_s_at	186.768	181.387	203.266
Mtr.10378.1.S1_at	16.9472	20.5057	18.5004
Mtr.10379.1.S1_at	71.9488	63.8569	60.4309
Mtr.1038.1.S1_at	152.557	149.343	159.795
Mtr.10380.1.S1_at	2209.11	1952.92	1840.77
Mtr.10382.1.S1_at	3216.53	3167.14	3461.2
Mtr.10383.1.S1_at	1586.46	1645.07	1562.29
Mtr.10384.1.S1_at	6931.4	6580.51	6681.96
Mtr.10385.1.S1_at	443.884	386.488	426.393
Mtr.10386.1.S1_at	2815.96	2513.97	3030.77
Mtr.10387.1.S1_at	224.641	226.052	216.906
Mtr.10388.1.S1_at	173.66	172.973	188.054
Mtr.10389.1.S1_s_at	304.767	300.226	351.831
Mtr.1039.1.S1_at	133.534	129.381	118.724
Mtr.10390.1.S1_at	668.021	637.735	663.252
Mtr.10391.1.S1_at	1827.48	1745.58	1850.82
Mtr.10392.1.S1_at	12065.8	11710.7	12222.9
Mtr.10393.1.S1_at	7459.23	7183.42	6560.87
Mtr.10394.1.S1_at	609.562	561.309	578.789
Mtr.10395.1.S1_at	122.548	148.513	188.681
Mtr.10396.1.S1_at	306.734	281.422	216.945
Mtr.10397.1.S1_at	332.928	415.885	661.222
